이름,뉴스,생성 일시,유형,이벤트 시간,제출상태,참석자,최종 편집 일시,최종 편집자
아이드로퍼/tech-pioneers - 초안,,2024년 2월 18일 오전 4:26,기획서,,Done,,2024년 2월 27일 오후 8:21,Jisu지수 Ryu
보이스레일,,2024년 3월 2일 오후 2:02,,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu
보이스레일/기초,,2024년 2월 7일 오후 8:09,기획서,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu
보이스레일/tech-pioneers,,2024년 2월 7일 오후 8:12,기획서,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu
스마트 유도등-초안/tech-pioneers,,2024년 2월 16일 오후 9:46,기획서,,반려,,2024년 3월 29일 오후 4:22,/임베디드시스템공학과 구민성
스마트 유도등/tech-pioneers,,2024년 2월 19일 오후 1:23,기획서,,반려,,2024년 3월 29일 오후 4:22,/임베디드시스템공학과 구민성
보이스레일/tech-pioneers - 백업,,2024년 2월 27일 오후 8:19,기획서,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu
잔소리탐지기,,2024년 3월 2일 오후 2:02,,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu
장애물 알림장치,,2024년 3월 2일 오후 2:05,,,반려,,2024년 3월 4일 오후 10:42,Jisu지수 Ryu
잔소리 탐지기/tech-pioneers - 초안,,2024년 2월 16일 오후 8:22,기획서,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu
"잔소리 탐지기/tech-pioneers ",,2024년 2월 18일 오후 1:42,기획서,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu
