이름,뉴스,상위 회의,생성 일시,유형,이벤트 시간,제출상태,참석자,최종 편집 일시,최종 편집자,하위 회의
2월,,회의록 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%E1%84%85%E1%85%A9%E1%86%A8%200d5b349094f64032b74e23c0e6cc73db.csv),2024년 5월 13일 오후 4:45,,,Not started,,2024년 6월 4일 오전 8:57,J,"0228 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0228%2099b8df25786847fbac862c3863f4c1ed.csv), 0226 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0226%2048752b7b8f3d424ca765f7badda237f3.csv), 0225 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0225%20aadd13fce4094529ad31328dbf17b8ba.csv), 0222 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0222%20ebfa3ad12be24ee3bffc74e3657c5432.csv), 0220 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0220%200fd8c555a52b4fe494aa5ab4664d4efe.csv)"
0318,,3월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/3%E1%84%8B%E1%85%AF%E1%86%AF%2044735b2f30df420e8cbf10cea8d03ced.csv),2024년 3월 18일 오후 6:22,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu,
0514,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 14일 오후 5:48,,,Not started,,2024년 6월 4일 오전 8:57,J,
0518,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 18일 오후 1:08,,,Not started,,2024년 6월 4일 오전 8:57,J,
0520,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 20일 오후 5:58,,,Not started,,2024년 6월 4일 오전 8:57,J,
할일,,0523 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0523%2058001626dcb74704a54673a487f74aeb.csv),2024년 5월 23일 오후 9:05,,,Not started,,2024년 6월 4일 오전 8:56,J,
0523,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 23일 오후 6:48,,,Not started,,2024년 6월 4일 오전 8:57,J,할일 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%92%E1%85%A1%E1%86%AF%E1%84%8B%E1%85%B5%E1%86%AF%2012ff8f2b2bca4c4ca2871e2fe87ef73f.csv)
0524,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 24일 오후 5:01,,,Not started,,2024년 6월 4일 오전 8:57,J,
0527,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 26일 오후 7:59,,,Not started,,2024년 6월 4일 오전 8:57,J,
0529,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 29일 오후 6:12,,,Not started,,2024년 6월 4일 오전 8:57,J,
0530,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 30일 오후 7:08,,,Not started,,2024년 6월 4일 오전 8:57,J,
0531,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 31일 오후 2:40,,,Not started,,2024년 6월 4일 오전 8:57,J,
0601/0603,,6월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/6%E1%84%8B%E1%85%AF%E1%86%AF%204d69b2b7be794120a3f326c2e843eca9.csv),2024년 5월 31일 오후 8:50,,,Not started,,2024년 6월 4일 오후 4:41,Jisu지수 Ryu,
5월,,회의록 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%E1%84%85%E1%85%A9%E1%86%A8%200d5b349094f64032b74e23c0e6cc73db.csv),2024년 6월 4일 오전 8:54,,,Not started,,2024년 6월 4일 오전 8:57,J,"0501 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0501%20926c845a35c0490dad6f6fc78edf496c.csv), 0504 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0504%203f090d5a7f7a4c61bd0cf05bb28f4fa6.csv), 0506 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0506%20bfd7475da4dc462982b6ec33498c7c3b.csv), 0509 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0509%20291c31478c4e47e190e7a741f15f674e.csv), 0511 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0511%201731a49e3387417190fa85e10a022810.csv), 0513 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0513%20d6611cd7455e4dab8b9bd91f8df59873.csv), 0514 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0514%209896dd26913c463fa8c9701413757866.csv), 0518 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0518%20a8619b1b80b1456da0b4364397c58f3d.csv), 0520 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0520%206df3fa93816e4955834357b4befd1990.csv), 0521 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0521%20af56daa53c494dda80e4220ed9981b40.csv), 0523 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0523%2058001626dcb74704a54673a487f74aeb.csv), 0524 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0524%20aed205a3e4d346ea9d8051132f66ff6e.csv), 0527 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0527%20431020857c074e078780c319c801bd5d.csv), 0529 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0529%206ce93b63e42546b2912908206bd34087.csv), 0530 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0530%208a9e6da374414a659f97bd81441bd7f0.csv), 0531 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0531%201b252b4789804af2a911c69990d00291.csv)"
0521,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 22일 오전 12:00,,,Not started,,2024년 6월 4일 오전 8:57,J,
