이름,실제,결과,방향
1,lose,win,uw
2,outofrange,outofrange,
3,outofrange,outofrange,
4,outofrange,outofrange,
5,lose,lose,
6,lose,lose,129
7,lose,lose,51
8,벽 맞음,벽 맞음,
9,lose,lose,
10,lose,벽 맞음,
11,lose,lose,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
,,,
